
模型分析:
==================================================
总参数量: 94,903,444
模型大小: 362.11 MB
训练时间: 12569.73 seconds
Test Accuracy: 92.88%

各鸟类准确率:
鸟类ID	准确率	样本数
------------------------------
0009	91.45%	152
0017	96.88%	160
0034	92.21%	154
0036	88.43%	121
0074	83.33%	6
0077	97.30%	148
0114	95.00%	160
0121	92.22%	167
0180	95.29%	170
0202	94.74%	171
0235	89.12%	147
0257	86.21%	58
0265	88.24%	136
0281	92.39%	92
0298	95.57%	158
0300	95.09%	163
0364	95.07%	142
0368	93.04%	158
0370	95.15%	165
1331	87.87%	239
测试集推理时间: 38.47 seconds
